observed_date,road,title,status,project_url,source_type,source_url
2024-06-20,A93,A93 Regensburg – Holledau (A9) Grundhafte Fahrbahnerneuerung  zwischen Regensburg-Süd und  Dreieck Saalhaupt,In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a-93-regensburg-holledau-a-9-grundhafte-fahrbahnerneuerung-zwischen-regensburg-sued-und-dreieck-saalhaupt,wayback_project_overview,https://web.archive.org/web/20240620094749/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_534%5D=syscat120
2024-12-02,A8,Neubau Albaufstieg,In Planung,https://www.autobahn.de/planen-bauen/projekt/a8-albaufstieg,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,Enztalquerung,In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a8-enztalquerung,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,A8 Sechsstreifige Erweiterung AS Ulm-West - AK Ulm-Elchingen,,https://www.autobahn.de/planen-bauen/projekt/a8-ulm-elchingen,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,Brückeninstandsetzung an der Anschlussstelle Mühlhausen,In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/brueckeninstandsetzung-an-der-anschlussstelle-muehlhausen,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,Drackensteiner Hang: Bauen rund um die Uhr mit modernsten Verfahren - Vier Kilometer Fahrbahndeckenerneuerung an nur einem Wochenende,Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/drackensteiner-hang-bauen-rund-um-die-uhr-mit-modernsten-verfahren-vier-kilometer-fahrbahndeckenerneuerung-an-nur-einem-wochenende,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,Erneuerung der Fahrbahn zwischen der Anschlussstelle Pforzheim-West und dem Dreieck Karlsruhe,Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/erneuerung-der-fahrbahn-zwischen-der-anschlussstelle-pforzheim-west-und-dem-dreieck-karlsruhe,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,Fahrbahndeckenerneuerung zwischen Wendlingen und Denkendorf in Fahrtrichtung München,Abgeschlossen,https://www.autobahn.de/planen-bauen/projekt/fahrbahndeckenerneuerung-zwischen-wendlingen-und-denkendorf-in-fahrtrichtung-muenchen,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,Grundhafte Erneuerung zwischen der Anschlussstelle Neunkirchen-Oberstadt und dem Autobahnkreuz Neunkirchen,In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/grundhafter-ausbau-zwischen-der-anschlussstelle-neunkirchen-oberstadt-und-dem-autobahnkreuz-neunkirchen,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,A8 PWC-Anlage Otterfing,In Planung,https://www.autobahn.de/planen-bauen/projekt/pwc-anlage-otterfing,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-02,A8,A8 Streckenbeeinflussungsanlage AD München-Eschenried - AS Neusäß,In Planung,https://www.autobahn.de/planen-bauen/projekt/streckenbeeinflussungsanlage-ad-muenchen-eschenried-as-neusaess,wayback_project_overview,https://web.archive.org/web/20241202101129/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2024-12-03,A93,A93 Regensburg – Holledau (A9) Grundhafte Fahrbahnerneuerung  zwischen Regensburg-Süd und  Dreieck Saalhaupt,In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a-93-regensburg-holledau-a-9-grundhafte-fahrbahnerneuerung-zwischen-regensburg-sued-und-dreieck-saalhaupt,wayback_project_overview,https://web.archive.org/web/20241203164320/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_534%5D=syscat120
2025-03-27,A8,Ausbau Albaufstieg,In Planung,https://www.autobahn.de/planen-bauen/projekt/a8-albaufstieg,wayback_project_overview,https://web.archive.org/web/20250327093816/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2025-03-27,A8,Enztalquerung,In Umsetzung,https://www.autobahn.de/planen-bauen/projekt/a8-enztalquerung,wayback_project_overview,https://web.archive.org/web/20250327093816/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
2025-03-27,A8,A8 Sechsstreifige Erweiterung AS Ulm-West bis AK Ulm/Elchingen,,https://www.autobahn.de/planen-bauen/projekt/a8-ulm-elchingen,wayback_project_overview,https://web.archive.org/web/20250327093816/https://www.autobahn.de/planen-bauen/projektuebersicht?tx_kesearch_pi1%5Bfilter_1_526%5D=syscat58
